PID  PPID STAT    RSS COMM
 2244     1 Ss    15920 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension
 2468     1 S      7936 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
 3948     1 S      2000 /usr/sbin/distnoted
 5201     1 S     17136 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
 5451     1 Ss    14864 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
 6845 97261 S     45248 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper.app/Contents/MacOS/Brave Origin Helper
 6859     1 S      9520 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 7196   549 S    287136 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer)
 7471     1 S    143888 /Applications/Claude.app/Contents/MacOS/Claude
 7515     1 S      5792 /Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler
 7516  7471 S     34192 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7518  7471 S     40640 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7539  7471 S     38480 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Renderer).app/Contents/MacOS/Claude Helper (Renderer)
 7540   549 S     42384 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
 7590  7471 S    114080 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Renderer).app/Contents/MacOS/Claude Helper (Renderer)
 7609   549 S    114032 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin)
 7627  7471 S     37040 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7628  7471 S     35248 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7649  7471 S     33680 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7674  7471 S     38560 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7675  7471 S     36368 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7676     1 Ss    48640 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
 7677  7471 S     34992 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7682  7471 S     18976 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
 7683  7471 S     25776 /Applications/Claude.app/Contents/Frameworks/Claude Helper.app/Contents/MacOS/Claude Helper
